Top,Author,Name,Commits
1,jina-ai,jina,5716
2,biancangming,wtv,34
3,bregman-arie,devops-exercises,468
4,trimstray,the-book-of-secret-knowledge,1010
5,programthink,zhao,480
6,ParthJadhav,Tkinter-Designer,157
7,vxunderground,MalwareSourceCode,762
8,Awesome-HarmonyOS,HarmonyOS,78
9,rustdesk,rustdesk,124
10,tgbot-collection,YYeTsBot,211
11,nushell,nushell,3367
12,maziarraissi,Applied-Deep-Learning,93
13,PaperMC,Paper,6045
14,chubin,cheat.sh,865
15,SigNoz,signoz,427
16,PaddlePaddle,PaddleHub,2062
17,binhnguyennus,awesome-scalability,1093
18,jwasham,coding-interview-university,1675
19,freefq,free,2467
20,black7375,Firefox-UI-Fix,369
21,mechaniac,Map-of-Javascript,9
22,Asabeneh,30-Days-Of-JavaScript,352
23,programthink,books,1229
24,kdn251,interviews,445
25,firstcontributions,first-contributions,25570
